Geneid,SRR25566236,SRR25566245,SRR25566229,SRR25566222,SRR25566244,SRR25566234,SRR25566248,SRR25566233,SRR25566240,SRR25566223,SRR25566241,SRR25566225,SRR25566249,SRR25566230,SRR25566250,SRR25566237,SRR25566232,SRR25566252,SRR25566226,SRR25566238,SRR25566243,SRR25566224,SRR25566239,SRR25566242,SRR25566247,SRR25566231,SRR25566227,SRR25566246,SRR25566235,SRR25566228,SRR25566221,SRR25566251
CRV15_RS00010,2801.0,670.0,431,75.0,233.0,235.0,1670.0,259.0,572,561,180.0,3193,234.0,1956.0,675.0,1602.0,349.0,229,2645,3033.0,215.0,972,3099.0,125.0,1365.0,2068.0,2083.0,853.0,290.0,7914.0,349.0,201
CRV15_RS00015,60.0,79.0,86,8.0,45.0,36.0,245.0,42.0,130,45,52.0,191,83.0,105.0,81.0,55.0,50.0,310,281,284.0,55.0,168,238.0,33.0,192.0,67.0,34.0,72.0,18.0,90.0,115.0,165
CRV15_RS00020,78.0,24.0,121,4.0,50.0,29.0,112.0,59.0,115,44,51.0,97,113.0,62.0,38.0,69.0,32.0,61,149,130.0,65.0,92,95.0,37.0,143.0,10.0,23.0,43.0,31.0,59.0,100.0,67
CRV15_RS00025,172.0,34.0,372,8.0,127.0,152.0,124.0,259.0,228,59,195.0,340,275.0,80.0,204.0,93.0,201.0,214,224,170.0,223.0,185,73.0,104.0,127.0,48.0,54.0,54.0,102.0,138.0,295.0,261
CRV15_RS00030,53.0,26.0,498,11.0,111.0,206.0,155.0,605.0,267,42,285.0,45,1082.0,58.0,117.0,31.0,208.0,44,51,109.0,247.0,101,65.0,198.0,207.0,19.0,14.0,44.0,104.0,37.0,1145.0,303
CRV15_RS00035,20.0,1.0,39,4.0,21.0,13.0,20.0,18.0,26,10,19.0,39,25.0,6.0,14.0,14.0,10.0,23,40,34.0,58.0,34,19.0,14.0,20.0,10.0,8.0,11.0,21.0,50.0,49.0,48
CRV15_RS00040,101.0,33.0,152,7.0,74.0,47.0,131.0,91.0,102,61,74.0,161,106.0,71.0,55.0,72.0,90.0,78,166,116.0,90.0,187,98.0,70.0,143.0,27.0,74.0,63.0,41.0,197.0,112.0,95
CRV15_RS00045,153.0,43.0,1300,31.0,234.0,428.0,262.0,647.0,711,169,548.0,234,715.0,150.0,476.0,69.0,388.0,228,188,252.0,411.0,595,157.0,238.0,262.0,76.0,59.0,74.0,404.0,155.0,768.0,757
CRV15_RS00050,973.0,425.0,3739,78.0,676.0,1225.0,2304.0,1505.0,3579,365,1350.0,490,1499.0,1270.0,1353.0,977.0,1398.0,397,585,1619.0,578.0,1136,1332.0,895.0,1842.0,367.0,492.0,675.0,843.0,1844.0,1718.0,2109
CRV15_RS00055,15.0,8.0,78,3.0,8.0,30.0,30.0,81.0,52,5,44.0,8,116.0,29.0,19.0,24.0,38.0,3,27,57.0,29.0,15,34.0,33.0,54.0,8.0,8.0,6.0,7.0,44.0,120.0,32
