contig,locus_tag,gene_name,start,end,strand,gene_biotype,product,protein_id,gene_ontology,Uniprot Entry,Uniprot Protein names,Uniprot Gene Names
chromosome,CRV15_RS09965,,2462757,2463368,-,protein_coding,response regulator transcription factor,WP_003948568.1,DNA binding [GO:0003677]; phosphorelay signal transduction system [GO:0000160]; regulation of DNA-templated transcription [GO:0006355],B5GYV1,"Two component transcriptional regulator, LuxR family",SCLAV_3699 bldM
chromosome,CRV15_RS10290,rpsJ,2514493,2514801,-,protein_coding,30S ribosomal protein S10,WP_003948644.1,RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]; ribosome [GO:0005840],B5GX50,Small ribosomal subunit protein uS10,SCLAV_3636 rpsJ
chromosome,CRV15_RS10315,rpsL,2521972,2522343,-,protein_coding,30S ribosomal protein S12,WP_003948652.1,structural constituent of ribosome [GO:0003735]; translation [GO:0006412]; organellar small ribosomal subunit [GO:0000314]; cytosolic small ribosomal subunit [GO:0022627],B5GX58,Small ribosomal subunit protein uS12,SCLAV_3631 rpsL
chromosome,CRV15_RS16710,,3969251,3969349,+,protein_coding,AURKAIP1/COX24 domain-containing protein,WP_003948845.1,,B5H2H4,Ribosomal protein mS38 C-terminal domain-containing protein,SCLAV_2353
chromosome,CRV15_RS12945,bldC,3097625,3097831,-,protein_coding,developmental transcriptional regulator BldC,WP_003949541.1,,B5GT44,MerR family transcriptional regulator bldC,SCLAV_3110 bldC
chromosome,CRV15_RS06825,treS,1721973,1723694,+,protein_coding,maltose alpha-D-glucosyltransferase,WP_003952356.1,maltose alpha-D-glucosyltransferase activity [GO:0047471]; trehalose metabolic process [GO:0005991],B5GKX9,maltose alpha-D-glucosyltransferase (EC 5.4.99.16) (Maltose alpha-D-glucosyltransferase),SCLAV_4349 treS
chromosome,CRV15_RS06845,,1730377,1730775,-,protein_coding,hypothetical protein,WP_003952360.1,,B5GKY3,DUF4259 domain-containing protein,SCLAV_4345
chromosome,CRV15_RS06850,,1731258,1732649,-,protein_coding,C4-dicarboxylate transporter DctA,WP_003952361.1,,,,
chromosome,CRV15_RS06855,,1732785,1734410,+,protein_coding,sensor histidine kinase,WP_003952362.1,phosphorelay sensor kinase activity [GO:0000155]; protein histidine kinase activity [GO:0004673]; ATP binding [GO:0005524]; signal transduction [GO:0007165],B5GKY5,histidine kinase (EC 2.7.13.3),SCLAV_4343
chromosome,CRV15_RS06865,hemC,1735576,1736565,+,protein_coding,hydroxymethylbilane synthase,WP_003952364.1,hydroxymethylbilane synthase activity [GO:0004418]; porphyrin-containing compound biosynthetic process [GO:0006779]; cytoplasm [GO:0005737],,,
