From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
WP_003962855.1	E2Q2S1	unreviewed	E2Q2S1_STRCL	Putative hydrolase	SCLAV_5715	Streptomyces clavuligerus	377
WP_003958806.1	B5H3E4	unreviewed	B5H3E4_STRCL	Putative cytochrome P450	rarE SCLAV_5713	Streptomyces clavuligerus	472
WP_003958808.1	B5H3E6	unreviewed	B5H3E6_STRCL	DUF466 domain-containing protein	SCLAV_5711	Streptomyces clavuligerus	70
WP_003958810.1	B5H3E8	unreviewed	B5H3E8_STRCL	RimK domain protein ATP-grasp	SCLAV_5709	Streptomyces clavuligerus	311
WP_003962851.1	E2Q2R1	unreviewed	E2Q2R1_STRCL	Putative diaminopimelate decarboxylase (EC 4.1.1.20)	SCLAV_5705	Streptomyces clavuligerus	430
WP_003958816.1	B5H3F4	unreviewed	B5H3F4_STRCL	Putative siderophore synthetase component	SCLAV_5704	Streptomyces clavuligerus	583
WP_003962850.1	E2Q2Q9	unreviewed	E2Q2Q9_STRCL	Putative siderophore synthetase component	SCLAV_5703	Streptomyces clavuligerus	606
WP_003962849.1	E2Q2Q8	unreviewed	E2Q2Q8_STRCL	Putative siderophore synthetase component	SCLAV_5702	Streptomyces clavuligerus	397
WP_003962848.1	E2Q2Q7	unreviewed	E2Q2Q7_STRCL	Putative ferric iron reductase	SCLAV_5701	Streptomyces clavuligerus	286
WP_003962847.1	E2Q2Q6	unreviewed	E2Q2Q6_STRCL	Putative integral membrane efflux protein	SCLAV_5700	Streptomyces clavuligerus	396
WP_003959019.1	B5H3Y6	unreviewed	B5H3Y6_STRCL	Putative membrane protein	SCLAV_5697	Streptomyces clavuligerus	149
WP_003962843.1	E2Q2Q2	unreviewed	E2Q2Q2_STRCL	MSP1_C domain-containing protein	SCLAV_5696	Streptomyces clavuligerus	278
WP_003959022.1	B5H3Y9	unreviewed	B5H3Y9_STRCL	Activator of Hsp90 ATPase 1-like protein	SCLAV_5694	Streptomyces clavuligerus	170
WP_003962841.1	E2Q2P9	unreviewed	E2Q2P9_STRCL	Putative regulator	SCLAV_5693	Streptomyces clavuligerus	681
WP_003962839.1	E2Q2P7	unreviewed	E2Q2P7_STRCL	Uncharacterized protein	SCLAV_5691	Streptomyces clavuligerus	96
WP_003962835.1	E2Q2P3	unreviewed	E2Q2P3_STRCL	Roadblock/LC7 family protein	SCLAV_5687	Streptomyces clavuligerus	134
WP_003962831.1	E2Q2N9	unreviewed	E2Q2N9_STRCL	SWF or SNF family helicase	SCLAV_5683	Streptomyces clavuligerus	476
