CRV15_RS10290	K02946
CRV15_RS10315	K02950
CRV15_RS06825	K05343
CRV15_RS06850	K11103
CRV15_RS06855	K02476
CRV15_RS06865	K01749
CRV15_RS06890	K02027
CRV15_RS06895	K02025
CRV15_RS06900	K02026
CRV15_RS06905	K21071
CRV15_RS06910	K13788
CRV15_RS06915	K00925
CRV15_RS06920	K00873
CRV15_RS06950	K25820
CRV15_RS07005	K07588
CRV15_RS07010	K00626
CRV15_RS07015	K05606
CRV15_RS07030	K01990
CRV15_RS07035	K01992
CRV15_RS07040	K01990
CRV15_RS07080	K00074
CRV15_RS07085	K00798
CRV15_RS07110	K01784
CRV15_RS07135	K01784
CRV15_RS07160	K02078
CRV15_RS07190	K02112
CRV15_RS07195	K02115
CRV15_RS07200	K02111
CRV15_RS07205	K02113
CRV15_RS07210	K02109
CRV15_RS07215	K02110
CRV15_RS07225	K02116
CRV15_RS07230	K02851
CRV15_RS07245	K07566
CRV15_RS07250	K02493
CRV15_RS07255	K02835
CRV15_RS07260	K02909
CRV15_RS07275	K03628
CRV15_RS07285	K01733
CRV15_RS07290	K00003
CRV15_RS07295	K01586
CRV15_RS07300	K01887
CRV15_RS07335	K20074
CRV15_RS07445	K17836
CRV15_RS07450	K07258
CRV15_RS07460	K26061
CRV15_RS07465	K12744
CRV15_RS07470	K04127
CRV15_RS07475	K18062
CRV15_RS07480	K18063
CRV15_RS07485	K12745
CRV15_RS07490	K04128
CRV15_RS07495	K22894
CRV15_RS07510	K03918
CRV15_RS07520	K04126
CRV15_RS07530	K12673
CRV15_RS07535	K12674
CRV15_RS07540	K12676
CRV15_RS07550	K00620
CRV15_RS07555	K02035
CRV15_RS07565	K12677
CRV15_RS07590	K15268
CRV15_RS07605	K09919
CRV15_RS07615	K05364
CRV15_RS07630	K03088
CRV15_RS07640	K02483
CRV15_RS07660	K07222
CRV15_RS07665	K10979
CRV15_RS07670	K01971
CRV15_RS07780	K06945
CRV15_RS34750	K01710
CRV15_RS34755	K00973
CRV15_RS34765	K16437
CRV15_RS34845	K09964
CRV15_RS34860	K15555
CRV15_RS34920	K12250
CRV15_RS35025	K06045
CRV15_RS35080	K02004
CRV15_RS35085	K02003
CRV15_RS35145	K01915
CRV15_RS35170	K07507
CRV15_RS35205	K22116
CRV15_RS35210	K01932
CRV15_RS35410	K20157
CRV15_RS35435	K07118
CRV15_RS35480	K06218
CRV15_RS35520	K07483
CRV15_RS35580	K03088
CRV15_RS35630	K00467
CRV15_RS35640	K13727
CRV15_RS35770	K23188
CRV15_RS35775	K23187
CRV15_RS32485	K00299
CRV15_RS32540	K11159
CRV15_RS32565	K07110
CRV15_RS32580	K00074
CRV15_RS32585	K00549
CRV15_RS32595	K00297
CRV15_RS32600	K02228
CRV15_RS32610	K01692
CRV15_RS32615	K00020
CRV15_RS32780	K19979
CRV15_RS32790	K20424
CRV15_RS32795	K20434
CRV15_RS32805	K01783
CRV15_RS32810	K19270
CRV15_RS32835	K12250
CRV15_RS32905	K10713
CRV15_RS32910	K05845
CRV15_RS32915	K05846
CRV15_RS32925	K05846
CRV15_RS32950	K03671
CRV15_RS32960	K02074
CRV15_RS32965	K02075
CRV15_RS33030	K08167
CRV15_RS33040	K01673
CRV15_RS33145	K05571
CRV15_RS33165	K05567
CRV15_RS33170	K05565
CRV15_RS33230	K26605
CRV15_RS33235	K26606
CRV15_RS33255	K00600
CRV15_RS33265	K12673
CRV15_RS32365	K03496
CRV15_RS32275	K07025
CRV15_RS32130	K12570
CRV15_RS32120	K03088
CRV15_RS32100	K00657
CRV15_RS32090	K01990
CRV15_RS32045	K11065
CRV15_RS32040	K05793
CRV15_RS32015	K22579
CRV15_RS31930	K05825
CRV15_RS31920	K21188
CRV15_RS31805	K00320
CRV15_RS31790	K03088
CRV15_RS31710	K03100
CRV15_RS31610	K00001
CRV15_RS31605	K20420
CRV15_RS31540	K00615
CRV15_RS31485	K01673
CRV15_RS31445	K21116
CRV15_RS10910	K01887
CRV15_RS10930	K01698
CRV15_RS11095	K00038
CRV15_RS11250	K07222
CRV15_RS11260	K15866
CRV15_RS11265	K00836
CRV15_RS11270	K06718
CRV15_RS11410	K01990
CRV15_RS11415	K01992
CRV15_RS11430	K26252
CRV15_RS11480	K01970
CRV15_RS11545	K18687
CRV15_RS11590	K22278
CRV15_RS11625	K02004
